"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP018714","AP018715","Ben","Bill","Bob","Bop","CCS1","Car","Carl","KY549443","NC_027335","NC_029009","NC_029026","Tex","V12","phief24c_oriented"
"group_263","","hypothetical protein","8","8","1","1","102","1","356","","254","254","254","NIGGIMMC_00174","ENPKHIHN_00169","","","FGBNBECL_00067","","","EGEOBHOM_00064","NGDEOPKE_00050","","EFIMCMEB_00138","","IJMJAIPA_00010","","","OOCDCBIJ_00078"
"group_264","","Thymidylate synthase","8","8","1","1","91","1","368","","947","947","947","NIGGIMMC_00183","ENPKHIHN_00179","","","FGBNBECL_00076","","","EGEOBHOM_00074","NGDEOPKE_00059","","EFIMCMEB_00129","","IJMJAIPA_00001","","","OOCDCBIJ_00088"
"group_268","","Virion protein 6","8","8","1","1","369","1","423","","338","338","338","NIGGIMMC_00203","ENPKHIHN_00200","","","FGBNBECL_00095","","","EGEOBHOM_00093","NGDEOPKE_00085","","EFIMCMEB_00109","","IJMJAIPA_00190","","","OOCDCBIJ_00106"
"group_27","","hypothetical protein","8","8","1","1","139","1","324","","380","464","453","NIGGIMMC_00146","ENPKHIHN_00145","","","FGBNBECL_00040","","","EGEOBHOM_00037","NGDEOPKE_00023","","EFIMCMEB_00166","","IJMJAIPA_00036","","","OOCDCBIJ_00051"
"group_280","","hypothetical protein","8","8","1","1","262","1","141","","248","248","248","","","AMNIBMGE_00011","DIEEDFHO_00185","","KEBGJNKE_00202","JEFDOCMN_00197","","","APLKDIED_00002","","MHALOBAC_00201","","BOCOCLFO_00188","FLJIFKPE_00205",""
"group_281","","hypothetical protein","8","8","1","1","271","1","132","","464","464","464","","","AMNIBMGE_00016","DIEEDFHO_00180","","KEBGJNKE_00197","JEFDOCMN_00189","","","APLKDIED_00008","","MHALOBAC_00196","","BOCOCLFO_00180","FLJIFKPE_00200",""
"group_282","","hypothetical protein","8","8","1","1","278","1","126","","866","866","866","","","AMNIBMGE_00021","DIEEDFHO_00175","","KEBGJNKE_00192","JEFDOCMN_00184","","","APLKDIED_00013","","MHALOBAC_00190","","BOCOCLFO_00175","FLJIFKPE_00195",""
"group_283","","hypothetical protein","8","8","1","1","284","1","120","","938","938","938","","","AMNIBMGE_00027","DIEEDFHO_00169","","KEBGJNKE_00186","JEFDOCMN_00178","","","APLKDIED_00019","","MHALOBAC_00184","","BOCOCLFO_00169","FLJIFKPE_00189",""
"group_284","","hypothetical protein","8","8","1","1","533","2","109","","1139","1139","1139","","","AMNIBMGE_00034","DIEEDFHO_00162","","KEBGJNKE_00178","JEFDOCMN_00169","","","APLKDIED_00029","","MHALOBAC_00177","","BOCOCLFO_00160","FLJIFKPE_00182",""
"group_285","","hypothetical protein","8","8","1","1","520","2","76","","584","677","665","","","AMNIBMGE_00042","DIEEDFHO_00154","","KEBGJNKE_00170","JEFDOCMN_00159","","","APLKDIED_00042","","MHALOBAC_00167","","BOCOCLFO_00152","FLJIFKPE_00174",""
"group_286","","hypothetical protein","8","8","1","1","473","2","72","","368","368","368","","","AMNIBMGE_00044","DIEEDFHO_00152","","KEBGJNKE_00168","JEFDOCMN_00157","","","APLKDIED_00046","","MHALOBAC_00165","","BOCOCLFO_00150","FLJIFKPE_00172",""
"group_287","","hypothetical protein","8","8","1","1","474","2","71","","311","311","311","","","AMNIBMGE_00045","DIEEDFHO_00151","","KEBGJNKE_00167","JEFDOCMN_00156","","","APLKDIED_00047","","MHALOBAC_00164","","BOCOCLFO_00149","FLJIFKPE_00171",""
"group_288","","hypothetical protein","8","8","1","1","477","2","69","","236","236","236","","","AMNIBMGE_00047","DIEEDFHO_00149","","KEBGJNKE_00165","JEFDOCMN_00154","","","APLKDIED_00049","","MHALOBAC_00162","","BOCOCLFO_00147","FLJIFKPE_00169",""
"group_289","","Exonuclease subunit 2","8","8","1","1","481","2","65","","1892","1892","1892","","","AMNIBMGE_00051","DIEEDFHO_00145","","KEBGJNKE_00161","JEFDOCMN_00149","","","APLKDIED_00053","","MHALOBAC_00158","","BOCOCLFO_00143","FLJIFKPE_00165",""
"group_290","","hypothetical protein","8","8","1","1","482","2","64","","1040","1040","1040","","","AMNIBMGE_00052","DIEEDFHO_00143","","KEBGJNKE_00160","JEFDOCMN_00148","","","APLKDIED_00054","","MHALOBAC_00157","","BOCOCLFO_00142","FLJIFKPE_00164",""
"group_291","","ATP-dependent helicase 41","8","8","1","1","483","2","63","","1472","2534","1604","","","AMNIBMGE_00053","DIEEDFHO_00142","","KEBGJNKE_00159","JEFDOCMN_00147","","","APLKDIED_00055","","MHALOBAC_00156","","BOCOCLFO_00141","FLJIFKPE_00163",""
"uvsW","","ATP-dependent DNA helicase uvsW","8","8","1","1","485","2","61","","1775","3050","1934","","","AMNIBMGE_00055","DIEEDFHO_00140","","KEBGJNKE_00157","JEFDOCMN_00145","","","APLKDIED_00057","","MHALOBAC_00154","","BOCOCLFO_00139","FLJIFKPE_00161",""
"group_294","","hypothetical protein","8","8","1","1","431","2","31","","1001","1001","1001","","","AMNIBMGE_00061","DIEEDFHO_00135","","KEBGJNKE_00151","JEFDOCMN_00137","","","APLKDIED_00063","","MHALOBAC_00148","","BOCOCLFO_00134","FLJIFKPE_00155",""
"group_295","","hypothetical protein","8","8","1","1","432","2","30","","704","704","704","","","AMNIBMGE_00062","DIEEDFHO_00134","","KEBGJNKE_00150","JEFDOCMN_00136","","","APLKDIED_00064","","MHALOBAC_00147","","BOCOCLFO_00133","FLJIFKPE_00154",""
"group_296","","hypothetical protein","8","8","1","1","445","2","20","","593","593","593","","","AMNIBMGE_00071","DIEEDFHO_00125","","KEBGJNKE_00141","JEFDOCMN_00127","","","APLKDIED_00073","","MHALOBAC_00138","","BOCOCLFO_00124","FLJIFKPE_00145",""
"group_297","","hypothetical protein","8","8","1","1","446","2","19","","473","473","473","","","AMNIBMGE_00072","DIEEDFHO_00124","","KEBGJNKE_00140","JEFDOCMN_00126","","","APLKDIED_00074","","MHALOBAC_00137","","BOCOCLFO_00123","FLJIFKPE_00144",""
"group_298","","hypothetical protein","8","8","1","1","417","4","4","","239","239","239","","","AMNIBMGE_00075","DIEEDFHO_00120","","KEBGJNKE_00137","JEFDOCMN_00123","","","APLKDIED_00078","","MHALOBAC_00134","","BOCOCLFO_00120","FLJIFKPE_00141",""
"PAL","","Lysin","8","8","1","1","406","4","1","","944","944","944","","","AMNIBMGE_00085","DIEEDFHO_00110","","KEBGJNKE_00127","JEFDOCMN_00113","","","APLKDIED_00088","","MHALOBAC_00124","","BOCOCLFO_00110","FLJIFKPE_00131",""
"group_300","","hypothetical protein","8","8","1","1","398","3","16","","356","356","356","","","AMNIBMGE_00087","DIEEDFHO_00108","","KEBGJNKE_00125","JEFDOCMN_00111","","","APLKDIED_00090","","MHALOBAC_00122","","BOCOCLFO_00108","FLJIFKPE_00129",""
"group_301","","tRNA-Trp(cca)","8","8","1","1","359","1","427","","73","73","73","","","AMNIBMGE_00101","DIEEDFHO_00094","","KEBGJNKE_00111","JEFDOCMN_00096","","","APLKDIED_00106","","MHALOBAC_00108","","BOCOCLFO_00094","FLJIFKPE_00113",""
"group_307","","hypothetical protein","8","8","1","1","326","1","392","","749","749","749","","","AMNIBMGE_00143","DIEEDFHO_00065","","KEBGJNKE_00067","JEFDOCMN_00054","","","APLKDIED_00133","","MHALOBAC_00066","","BOCOCLFO_00056","FLJIFKPE_00069",""
"group_309","","hypothetical protein","8","8","1","1","74","1","385","","614","614","614","","","AMNIBMGE_00147","DIEEDFHO_00061","","KEBGJNKE_00063","JEFDOCMN_00050","","","APLKDIED_00137","","MHALOBAC_00062","","BOCOCLFO_00052","FLJIFKPE_00065",""
"group_31","","DNA polymerase","8","8","1","1","529","2","82","","1487","2936","2562","","","AMNIBMGE_00036","DIEEDFHO_00160","","KEBGJNKE_00176","JEFDOCMN_00167","","","APLKDIED_00033","","MHALOBAC_00175","","BOCOCLFO_00158","FLJIFKPE_00180",""
"group_310","","hypothetical protein","8","8","1","1","89","1","373","","203","203","203","","","AMNIBMGE_00149","DIEEDFHO_00059","","KEBGJNKE_00061","JEFDOCMN_00048","","","APLKDIED_00139","","MHALOBAC_00059","","BOCOCLFO_00050","FLJIFKPE_00063",""
"group_314","","hypothetical protein","8","8","1","1","60","1","47","","575","575","575","","","AMNIBMGE_00163","DIEEDFHO_00045","","KEBGJNKE_00048","JEFDOCMN_00040","","","APLKDIED_00147","","MHALOBAC_00046","","BOCOCLFO_00041","FLJIFKPE_00053",""
"group_315","","hypothetical protein","8","8","1","1","56","1","43","","320","320","320","","","AMNIBMGE_00167","DIEEDFHO_00041","","KEBGJNKE_00044","JEFDOCMN_00036","","","APLKDIED_00151","","MHALOBAC_00042","","BOCOCLFO_00037","FLJIFKPE_00049",""
"group_319","","hypothetical protein","8","8","1","1","169","1","282","","188","188","188","","","AMNIBMGE_00184","DIEEDFHO_00024","","KEBGJNKE_00027","JEFDOCMN_00021","","","APLKDIED_00165","","MHALOBAC_00026","","BOCOCLFO_00022","FLJIFKPE_00033",""
"group_330","","hypothetical protein","8","8","1","1","351","1","436","","182","185","182","","","AMNIBMGE_00117","DIEEDFHO_00091","","KEBGJNKE_00094","JEFDOCMN_00080","","","APLKDIED_00114","","MHALOBAC_00092","","BOCOCLFO_00079","FLJIFKPE_00097",""
"group_34","","hypothetical protein","8","8","1","1","66","1","51","","563","563","563","","","AMNIBMGE_00154","DIEEDFHO_00054","","KEBGJNKE_00056","JEFDOCMN_00046","","","APLKDIED_00143","","MHALOBAC_00054","","BOCOCLFO_00048","FLJIFKPE_00058",""
"group_342","","hypothetical protein","8","8","1","1","396","3","19","","845","848","845","","","AMNIBMGE_00089","DIEEDFHO_00106","","KEBGJNKE_00123","JEFDOCMN_00109","","","APLKDIED_00092","","MHALOBAC_00120","","BOCOCLFO_00106","FLJIFKPE_00127",""
"group_36","","Tail fiber protein","8","8","1","1","442","2","23","","6650","7964","7037","","","AMNIBMGE_00068","DIEEDFHO_00128","","KEBGJNKE_00144","JEFDOCMN_00130","","","APLKDIED_00070","","MHALOBAC_00141","","BOCOCLFO_00127","FLJIFKPE_00148",""
"group_371","","hypothetical protein","8","8","1","1","403","5","10","","1592","1667","1642","NIGGIMMC_00011","ENPKHIHN_00013","","","FGBNBECL_00108","","","EGEOBHOM_00110","NGDEOPKE_00098","","EFIMCMEB_00095","","IJMJAIPA_00177","","","OOCDCBIJ_00118"
"group_375","","hypothetical protein","8","8","1","1","377","3","8","","269","269","269","NIGGIMMC_00001","ENPKHIHN_00001","","","FGBNBECL_00098","","","EGEOBHOM_00096","NGDEOPKE_00088","","EFIMCMEB_00106","","IJMJAIPA_00187","","","OOCDCBIJ_00109"
"group_376","","hypothetical protein","8","8","1","1","390","3","2","","716","716","716","NIGGIMMC_00007","ENPKHIHN_00009","","","FGBNBECL_00104","","","EGEOBHOM_00106","NGDEOPKE_00094","","EFIMCMEB_00099","","IJMJAIPA_00181","","","OOCDCBIJ_00114"
"group_377","","hypothetical protein","8","8","1","1","404","5","9","","344","344","344","NIGGIMMC_00010","ENPKHIHN_00012","","","FGBNBECL_00107","","","EGEOBHOM_00109","NGDEOPKE_00097","","EFIMCMEB_00096","","IJMJAIPA_00178","","","OOCDCBIJ_00117"
"group_378","","Putative major capsid protein","8","8","1","1","402","5","11","","470","470","470","NIGGIMMC_00012","ENPKHIHN_00014","","","FGBNBECL_00109","","","EGEOBHOM_00111","NGDEOPKE_00099","","EFIMCMEB_00094","","IJMJAIPA_00176","","","OOCDCBIJ_00119"
"group_379","","hypothetical protein","8","8","1","1","420","5","5","","899","899","899","NIGGIMMC_00016","ENPKHIHN_00018","","","FGBNBECL_00113","","","EGEOBHOM_00115","NGDEOPKE_00103","","EFIMCMEB_00089","","IJMJAIPA_00172","","","OOCDCBIJ_00123"
"group_380","","hypothetical protein","8","8","1","1","421","5","4","","869","869","869","NIGGIMMC_00017","ENPKHIHN_00019","","","FGBNBECL_00114","","","EGEOBHOM_00116","NGDEOPKE_00104","","EFIMCMEB_00088","","IJMJAIPA_00171","","","OOCDCBIJ_00124"
"group_381","","hypothetical protein","8","8","1","1","423","5","2","","845","845","845","NIGGIMMC_00019","ENPKHIHN_00021","","","FGBNBECL_00116","","","EGEOBHOM_00118","NGDEOPKE_00106","","EFIMCMEB_00085","","IJMJAIPA_00169","","","OOCDCBIJ_00126"
"group_382","","hypothetical protein","8","8","1","1","452","2","40","","473","473","473","NIGGIMMC_00023","ENPKHIHN_00024","","","FGBNBECL_00120","","","EGEOBHOM_00122","NGDEOPKE_00110","","EFIMCMEB_00081","","IJMJAIPA_00165","","","OOCDCBIJ_00130"
"group_383","","hypothetical protein","8","8","1","1","453","2","41","","575","575","575","NIGGIMMC_00024","ENPKHIHN_00025","","","FGBNBECL_00121","","","EGEOBHOM_00123","NGDEOPKE_00111","","EFIMCMEB_00080","","IJMJAIPA_00164","","","OOCDCBIJ_00131"
"group_386","","hypothetical protein","8","8","1","1","460","2","49","","146","146","146","NIGGIMMC_00030","ENPKHIHN_00031","","","FGBNBECL_00127","","","EGEOBHOM_00129","NGDEOPKE_00117","","EFIMCMEB_00073","","IJMJAIPA_00158","","","OOCDCBIJ_00137"
"group_387","","hypothetical protein","8","8","1","1","462","2","51","","536","536","536","NIGGIMMC_00032","ENPKHIHN_00033","","","FGBNBECL_00129","","","EGEOBHOM_00131","NGDEOPKE_00119","","EFIMCMEB_00071","","IJMJAIPA_00156","","","OOCDCBIJ_00139"
"group_388","","hypothetical protein","8","8","1","1","463","2","52","","704","704","704","NIGGIMMC_00033","ENPKHIHN_00034","","","FGBNBECL_00130","","","EGEOBHOM_00132","NGDEOPKE_00120","","EFIMCMEB_00070","","IJMJAIPA_00155","","","OOCDCBIJ_00140"
"group_389","","hypothetical protein","8","8","1","1","464","2","54","","1052","1052","1052","NIGGIMMC_00034","ENPKHIHN_00035","","","FGBNBECL_00131","","","EGEOBHOM_00133","NGDEOPKE_00121","","EFIMCMEB_00069","","IJMJAIPA_00154","","","OOCDCBIJ_00141"
"group_390","","Virion protein 3","8","8","1","1","467","2","56","","479","479","479","NIGGIMMC_00036","ENPKHIHN_00037","","","FGBNBECL_00133","","","EGEOBHOM_00135","NGDEOPKE_00123","","EFIMCMEB_00067","","IJMJAIPA_00152","","","OOCDCBIJ_00143"
"group_391","","hypothetical protein","8","8","1","1","491","2","86","","1490","1490","1490","NIGGIMMC_00041","ENPKHIHN_00042","","","FGBNBECL_00138","","","EGEOBHOM_00140","NGDEOPKE_00128","","EFIMCMEB_00061","","IJMJAIPA_00148","","","OOCDCBIJ_00147"
"group_392","","ATP-dependent helicase 41","8","8","1","1","492","2","87","","1472","1472","1472","NIGGIMMC_00042","ENPKHIHN_00043","","","FGBNBECL_00139","","","EGEOBHOM_00141","NGDEOPKE_00129","","EFIMCMEB_00060","","IJMJAIPA_00147","","","OOCDCBIJ_00148"
"group_393","","hypothetical protein","8","8","1","1","493","2","88","","1055","1055","1055","NIGGIMMC_00043","ENPKHIHN_00044","","","FGBNBECL_00140","","","EGEOBHOM_00142","NGDEOPKE_00130","","EFIMCMEB_00059","","IJMJAIPA_00146","","","OOCDCBIJ_00149"
"group_394","","Exonuclease subunit 2","8","8","1","1","494","2","89","","1892","1892","1892","NIGGIMMC_00044","ENPKHIHN_00045","","","FGBNBECL_00141","","","EGEOBHOM_00143","NGDEOPKE_00131","","EFIMCMEB_00058","","IJMJAIPA_00145","","","OOCDCBIJ_00150"
"group_395","","hypothetical protein","8","8","1","1","495","2","90","","665","665","665","NIGGIMMC_00045","ENPKHIHN_00046","","","FGBNBECL_00142","","","EGEOBHOM_00144","NGDEOPKE_00132","","EFIMCMEB_00057","","IJMJAIPA_00144","","","OOCDCBIJ_00151"
"group_396","","hypothetical protein","8","8","1","1","498","2","93","","884","884","884","NIGGIMMC_00048","ENPKHIHN_00049","","","FGBNBECL_00145","","","EGEOBHOM_00147","NGDEOPKE_00135","","EFIMCMEB_00054","","IJMJAIPA_00141","","","OOCDCBIJ_00154"
"group_397","","hypothetical protein","8","8","1","1","500","2","95","","308","308","308","NIGGIMMC_00050","ENPKHIHN_00051","","","FGBNBECL_00147","","","EGEOBHOM_00149","NGDEOPKE_00137","","EFIMCMEB_00052","","IJMJAIPA_00139","","","OOCDCBIJ_00156"
"group_398","","hypothetical protein","8","8","1","1","501","2","96","","311","311","311","NIGGIMMC_00051","ENPKHIHN_00052","","","FGBNBECL_00148","","","EGEOBHOM_00150","NGDEOPKE_00138","","EFIMCMEB_00051","","IJMJAIPA_00138","","","OOCDCBIJ_00157"
"group_399","","hypothetical protein","8","8","1","1","502","2","97","","371","371","371","NIGGIMMC_00052","ENPKHIHN_00053","","","FGBNBECL_00149","","","EGEOBHOM_00151","NGDEOPKE_00139","","EFIMCMEB_00050","","IJMJAIPA_00137","","","OOCDCBIJ_00158"
"group_400","","hypothetical protein","8","8","1","1","503","2","98","","668","668","668","NIGGIMMC_00053","ENPKHIHN_00054","","","FGBNBECL_00150","","","EGEOBHOM_00152","NGDEOPKE_00140","","EFIMCMEB_00049","","IJMJAIPA_00136","","","OOCDCBIJ_00159"
"group_401","","hypothetical protein","8","8","1","1","506","2","100","","479","479","479","NIGGIMMC_00055","ENPKHIHN_00056","","","FGBNBECL_00152","","","EGEOBHOM_00154","NGDEOPKE_00142","","EFIMCMEB_00047","","IJMJAIPA_00134","","","OOCDCBIJ_00161"
"group_403","","hypothetical protein","8","8","1","1","511","2","119","","356","359","358","NIGGIMMC_00061","ENPKHIHN_00062","","","FGBNBECL_00158","","","EGEOBHOM_00160","NGDEOPKE_00148","","EFIMCMEB_00040","","IJMJAIPA_00128","","","OOCDCBIJ_00165"
"group_404","","hypothetical protein","8","8","1","1","510","2","118","","1286","1289","1288","NIGGIMMC_00062","ENPKHIHN_00063","","","FGBNBECL_00159","","","EGEOBHOM_00161","NGDEOPKE_00149","","EFIMCMEB_00039","","IJMJAIPA_00127","","","OOCDCBIJ_00166"
"group_405","","hypothetical protein","8","8","1","1","545","1","197","","1052","1052","1052","NIGGIMMC_00071","ENPKHIHN_00072","","","FGBNBECL_00167","","","EGEOBHOM_00169","NGDEOPKE_00159","","EFIMCMEB_00029","","IJMJAIPA_00119","","","OOCDCBIJ_00174"
"group_406","","hypothetical protein","8","8","1","1","546","1","198","","374","374","374","NIGGIMMC_00072","ENPKHIHN_00073","","","FGBNBECL_00168","","","EGEOBHOM_00170","NGDEOPKE_00160","","EFIMCMEB_00028","","IJMJAIPA_00118","","","OOCDCBIJ_00175"
"group_407","","hypothetical protein","8","8","1","1","547","1","199","","620","620","620","NIGGIMMC_00073","ENPKHIHN_00074","","","FGBNBECL_00169","","","EGEOBHOM_00171","NGDEOPKE_00161","","EFIMCMEB_00027","","IJMJAIPA_00117","","","OOCDCBIJ_00176"
"group_408","","hypothetical protein","8","8","1","1","548","1","200","","740","740","740","NIGGIMMC_00074","ENPKHIHN_00075","","","FGBNBECL_00170","","","EGEOBHOM_00172","NGDEOPKE_00162","","EFIMCMEB_00026","","IJMJAIPA_00116","","","OOCDCBIJ_00177"
"group_409","","hypothetical protein","8","8","1","1","549","1","201","","506","506","506","NIGGIMMC_00075","ENPKHIHN_00076","","","FGBNBECL_00171","","","EGEOBHOM_00173","NGDEOPKE_00163","","EFIMCMEB_00025","","IJMJAIPA_00115","","","OOCDCBIJ_00178"
"group_410","","hypothetical protein","8","8","1","1","551","1","203","","857","857","857","NIGGIMMC_00077","ENPKHIHN_00078","","","FGBNBECL_00173","","","EGEOBHOM_00175","NGDEOPKE_00165","","EFIMCMEB_00023","","IJMJAIPA_00113","","","OOCDCBIJ_00180"
"group_411","","hypothetical protein","8","8","1","1","554","1","206","","689","689","689","NIGGIMMC_00080","ENPKHIHN_00081","","","FGBNBECL_00176","","","EGEOBHOM_00178","NGDEOPKE_00168","","EFIMCMEB_00020","","IJMJAIPA_00110","","","OOCDCBIJ_00183"
"group_412","","hypothetical protein","8","8","1","1","555","1","207","","467","467","467","NIGGIMMC_00081","ENPKHIHN_00082","","","FGBNBECL_00177","","","EGEOBHOM_00179","NGDEOPKE_00169","","EFIMCMEB_00019","","IJMJAIPA_00109","","","OOCDCBIJ_00184"
"group_413","","hypothetical protein","8","8","1","1","566","1","217","","302","302","302","NIGGIMMC_00091","ENPKHIHN_00091","","","FGBNBECL_00187","","","EGEOBHOM_00188","NGDEOPKE_00178","","EFIMCMEB_00010","","IJMJAIPA_00100","","","OOCDCBIJ_00194"
"group_422","","hypothetical protein","8","8","1","1","123","1","339","","479","479","479","NIGGIMMC_00160","ENPKHIHN_00159","","","FGBNBECL_00054","","","EGEOBHOM_00052","NGDEOPKE_00038","","EFIMCMEB_00151","","IJMJAIPA_00022","","","OOCDCBIJ_00065"
"group_44","","DNA polymerase","8","8","1","1","509","2","104","","1904","2981","2343","NIGGIMMC_00058","ENPKHIHN_00059","","","FGBNBECL_00155","","","EGEOBHOM_00157","NGDEOPKE_00145","","EFIMCMEB_00043","","IJMJAIPA_00131","","","OOCDCBIJ_00164"
"group_447","","hypothetical protein","8","8","1","1","274","1","131","","695","695","695","","","AMNIBMGE_00017","DIEEDFHO_00179","","KEBGJNKE_00196","JEFDOCMN_00188","","","APLKDIED_00009","","MHALOBAC_00195","","BOCOCLFO_00179","FLJIFKPE_00199",""
"group_449","","hypothetical protein","8","8","1","1","279","1","125","","503","503","503","","","AMNIBMGE_00022","DIEEDFHO_00174","","KEBGJNKE_00191","JEFDOCMN_00183","","","APLKDIED_00014","","MHALOBAC_00189","","BOCOCLFO_00174","FLJIFKPE_00194",""
"group_450","","hypothetical protein","8","8","1","1","280","1","124","","740","740","740","","","AMNIBMGE_00023","DIEEDFHO_00173","","KEBGJNKE_00190","JEFDOCMN_00182","","","APLKDIED_00015","","MHALOBAC_00188","","BOCOCLFO_00173","FLJIFKPE_00193",""
"group_451","","hypothetical protein","8","8","1","1","281","1","123","","644","644","644","","","AMNIBMGE_00024","DIEEDFHO_00172","","KEBGJNKE_00189","JEFDOCMN_00181","","","APLKDIED_00016","","MHALOBAC_00187","","BOCOCLFO_00172","FLJIFKPE_00192",""
"group_452","","hypothetical protein","8","8","1","1","282","1","122","","368","368","368","","","AMNIBMGE_00025","DIEEDFHO_00171","","KEBGJNKE_00188","JEFDOCMN_00180","","","APLKDIED_00017","","MHALOBAC_00186","","BOCOCLFO_00171","FLJIFKPE_00191",""
"group_453","","hypothetical protein","8","8","1","1","283","1","121","","1253","1253","1253","","","AMNIBMGE_00026","DIEEDFHO_00170","","KEBGJNKE_00187","JEFDOCMN_00179","","","APLKDIED_00018","","MHALOBAC_00185","","BOCOCLFO_00170","FLJIFKPE_00190",""
"group_454","","hypothetical protein","8","8","1","1","530","2","110","","347","347","347","","","AMNIBMGE_00035","DIEEDFHO_00161","","KEBGJNKE_00177","JEFDOCMN_00168","","","APLKDIED_00030","","MHALOBAC_00176","","BOCOCLFO_00159","FLJIFKPE_00181",""
"group_455","","hypothetical protein","8","8","1","1","525","2","81","","311","311","311","","","AMNIBMGE_00037","DIEEDFHO_00159","","KEBGJNKE_00175","JEFDOCMN_00164","","","APLKDIED_00037","","MHALOBAC_00172","","BOCOCLFO_00157","FLJIFKPE_00179",""
"group_456","","hypothetical protein","8","8","1","1","524","2","80","","794","794","794","","","AMNIBMGE_00038","DIEEDFHO_00158","","KEBGJNKE_00174","JEFDOCMN_00163","","","APLKDIED_00038","","MHALOBAC_00171","","BOCOCLFO_00156","FLJIFKPE_00178",""
"group_457","","hypothetical protein","8","8","1","1","475","2","70","","311","311","311","","","AMNIBMGE_00046","DIEEDFHO_00150","","KEBGJNKE_00166","JEFDOCMN_00155","","","APLKDIED_00048","","MHALOBAC_00163","","BOCOCLFO_00148","FLJIFKPE_00170",""
"group_458","","hypothetical protein","8","8","1","1","479","2","67","","1052","1055","1054","","","AMNIBMGE_00049","DIEEDFHO_00147","","KEBGJNKE_00163","JEFDOCMN_00151","","","APLKDIED_00051","","MHALOBAC_00160","","BOCOCLFO_00145","FLJIFKPE_00167",""
"group_459","","hypothetical protein","8","8","1","1","484","2","62","","1643","1643","1643","","","AMNIBMGE_00054","DIEEDFHO_00141","","KEBGJNKE_00158","JEFDOCMN_00146","","","APLKDIED_00056","","MHALOBAC_00155","","BOCOCLFO_00140","FLJIFKPE_00162",""
"group_460","","Virion protein 3","8","8","1","1","470","2","34","","479","479","479","","","AMNIBMGE_00059","DIEEDFHO_00137","","KEBGJNKE_00153","JEFDOCMN_00141","","","APLKDIED_00061","","MHALOBAC_00150","","BOCOCLFO_00136","FLJIFKPE_00157",""
"group_461","","hypothetical protein","8","8","1","1","433","2","29","","536","536","536","","","AMNIBMGE_00063","DIEEDFHO_00133","","KEBGJNKE_00149","JEFDOCMN_00135","","","APLKDIED_00065","","MHALOBAC_00146","","BOCOCLFO_00132","FLJIFKPE_00153",""
"group_462","","hypothetical protein","8","8","1","1","416","4","5","","845","845","845","","","AMNIBMGE_00076","DIEEDFHO_00119","","KEBGJNKE_00136","JEFDOCMN_00122","","","APLKDIED_00079","","MHALOBAC_00133","","BOCOCLFO_00119","FLJIFKPE_00140",""
"group_463","","hypothetical protein","8","8","1","1","415","4","6","","623","623","623","","","AMNIBMGE_00077","DIEEDFHO_00118","","KEBGJNKE_00135","JEFDOCMN_00121","","","APLKDIED_00080","","MHALOBAC_00132","","BOCOCLFO_00118","FLJIFKPE_00139",""
"group_464","","hypothetical protein","8","8","1","1","414","4","7","","872","872","872","","","AMNIBMGE_00078","DIEEDFHO_00117","","KEBGJNKE_00134","JEFDOCMN_00120","","","APLKDIED_00081","","MHALOBAC_00131","","BOCOCLFO_00117","FLJIFKPE_00138",""
"group_465","","hypothetical protein","8","8","1","1","413","4","8","","896","896","896","","","AMNIBMGE_00079","DIEEDFHO_00116","","KEBGJNKE_00133","JEFDOCMN_00119","","","APLKDIED_00082","","MHALOBAC_00130","","BOCOCLFO_00116","FLJIFKPE_00137",""
"group_466","","hypothetical protein","8","8","1","1","412","4","9","","251","251","251","","","AMNIBMGE_00080","DIEEDFHO_00115","","KEBGJNKE_00132","JEFDOCMN_00118","","","APLKDIED_00083","","MHALOBAC_00129","","BOCOCLFO_00115","FLJIFKPE_00136",""
"group_467","","Putative major capsid protein","8","8","1","1","411","4","11","","1421","1421","1421","","","AMNIBMGE_00081","DIEEDFHO_00114","","KEBGJNKE_00131","JEFDOCMN_00117","","","APLKDIED_00084","","MHALOBAC_00128","","BOCOCLFO_00114","FLJIFKPE_00135",""
"group_469","","Putative major capsid protein","8","8","1","1","408","4","3","","788","788","788","","","AMNIBMGE_00083","DIEEDFHO_00112","","KEBGJNKE_00129","JEFDOCMN_00115","","","APLKDIED_00086","","MHALOBAC_00126","","BOCOCLFO_00112","FLJIFKPE_00133",""
"group_470","","hypothetical protein","8","8","1","1","407","4","2","","1559","1559","1559","","","AMNIBMGE_00084","DIEEDFHO_00111","","KEBGJNKE_00128","JEFDOCMN_00114","","","APLKDIED_00087","","MHALOBAC_00125","","BOCOCLFO_00111","FLJIFKPE_00132",""
"group_471","","hypothetical protein","8","8","1","1","397","3","17","","827","827","827","","","AMNIBMGE_00088","DIEEDFHO_00107","","KEBGJNKE_00124","JEFDOCMN_00110","","","APLKDIED_00091","","MHALOBAC_00121","","BOCOCLFO_00107","FLJIFKPE_00128",""
"group_472","","hypothetical protein","8","8","1","1","301","3","26","","428","428","428","","","AMNIBMGE_00091","DIEEDFHO_00104","","KEBGJNKE_00121","JEFDOCMN_00107","","","APLKDIED_00099","","MHALOBAC_00118","","BOCOCLFO_00104","FLJIFKPE_00123",""
